idx	oid	para	db_token	pdf_token	status	file	context
42	12714	10	20	10	RENDERED	042_12714_p10_20-vs-10.png	.... Damron,* 1998 ND 71, ¶[20->10], 575 N.W.2d 912; *Padge...
43	12744	15	793	293	RENDERED	043_12744_p15_793-vs-293.png	...iskill,* 698 F.Supp. at [793->293]. The majority reason pol...
44	12746	26	538	533	RENDERED	044_12746_p26_538-vs-533.png	...*Reinecke v. Griffeth,* [538->533] N.W.2d 695, 702 (N.D.199...
45	12751	11	17	47	RENDERED	045_12751_p11_17-vs-47.png	...n *Baldock**,* at 446^[17->47] (footnote omitted), we r...
46	12751	15	2251	2254	RENDERED	046_12751_p15_2251-vs-2254.png	...vide.” *Hearing on S.B. [2251->2254] Before the Senate Judici...
47	12760	19	1993	1994	RENDERED	047_12760_p19_1993-vs-1994.png	..., 509 N.W.2d 49, 53 (N.D.[1993->1994]). ...
48	12786	6	816	316	RENDERED	048_12786_p6_816-vs-316.png	...st v. Hust,* 295 N.W.2d [816->316], 318 (N.D.1980). “[C]our...
49	12805	7	64	04	RENDERED	049_12805_p7_64-vs-04.png	...irement of N.D.C.C. § 44-[64->04]-18(2). The Department as...
50	12805	9	8	3	RENDERED	050_12805_p9_8-vs-3.png	...xplore] for the same. [8->3]. That [the Department] s...
51	12839	3	653	553	RENDERED	051_12839_p3_653-vs-553.png	...r to Gerber was numbered [653->553]. Evidence at trial showe...
52	12913	8	28	23	RENDERED	052_12913_p8_28-vs-23.png	... On March [28->23], 1998, Spring Creek move...
53	12924	12	823	323	RENDERED	053_12924_p12_823-vs-323.png	...Union,* 452 N.W.2d 319, [823->323] (N.D.1990). When the que...
54	12924	15	28	23	RENDERED	054_12924_p15_28-vs-23.png	...n light of N.D.C.C. § 32-[28->23]-09 and under the circums...
55	12940	65	1162	1152	RENDERED	055_12940_p65_1162-vs-1152.png	...state.” *Hearing on H.B. [1162->1152] Before the House Judicia...
56	12958	42	84	34	RENDERED	056_12958_p42_84-vs-34.png	...tion Act in N.D.C.C. ch. [84->34]-14 bar a private right o...
57	13012	11	448	443	RENDERED	057_13012_p11_448-vs-443.png	.... Helbling,* 541 N.W.2d [448->443], 445 (N.D.1995), we expl...
58	13017	2	28	23	RENDERED	058_13017_p2_28-vs-23.png	...9, 1995, through October [28->23], 1995. She returned to w...
59	13017	21	877	377	RENDERED	059_13017_p21_877-vs-377.png	...t 357 (citing *Weber,* [877->377] N.W.2d at 574). Hein cla...
60	13018	5	66	65	RENDERED	060_13018_p5_66-vs-65.png	...tements under N.D.C.C. § [66->65]-05-33, and ordering him ...
61	13018	5	86	85	RENDERED	061_13018_p5_86-vs-85.png	...efits and repay the $602.[86->85] in erroneously paid bene...
62	13026	3	600	500	RENDERED	062_13026_p3_600-vs-500.png	...o the Partnership for $2,[600->500]. On October 13, 1989, Br...
63	13031	11	1998	1999	RENDERED	063_13031_p11_1998-vs-1999.png	...rstood meaning. *Lee,* [1998->1999] ND 218, ¶ 11, 587 N.W.2d...
64	13033	7	1996	1995	RENDERED	064_13033_p7_1996-vs-1995.png	...539 N.W.2d 857, 859 (N.D.[1996->1995])). The reasonable suspic...
65	13033	14	859	359	RENDERED	065_13033_p14_859-vs-359.png	...ing within its own lane. [859->359] N.W.2d at 116. The offic...
66	13050	24	538	533	RENDERED	066_13050_p24_538-vs-533.png	... Developmental Center,* [538->533] N.W.2d 707, 709 (N.D.199...
67	13052	2	18	13	RENDERED	067_13052_p2_18-vs-13.png	... Kraemer filed a Chapter [18->13] bankruptcy petition. He ...
68	13052	2	4338	4333	RENDERED	068_13052_p2_4338-vs-4333.png	...ry, and commissions” as $[4338->4333].83, which is equivalent ...
69	13052	2	83	33	RENDERED	069_13052_p2_83-vs-33.png	...nd commissions” as $4338.[83->33], which is equivalent to ...
70	13053	1	85	35	RENDERED	070_13053_p1_85-vs-35.png	...tion under N.D.R.Crim.P. [85->35] for correction of his se...
71	13058	13	188	183	RENDERED	071_13058_p13_188-vs-183.png	.... I-S, Inc.,* 274 N.W.2d [188->183] , 189 (N.D.1978). A dete...
72	13063	9	1998	1999	RENDERED	072_13063_p9_1998-vs-1999.png	...f $4,143.46,” *Henry,* [1998->1999] ND 141, ¶ 22, 581 N.W.2d...
73	13067	18	18	13	RENDERED	073_13067_p18_18-vs-13.png	...*Poitra,* 1998 ND 88, ¶ [18->13], 578 N.W.2d 121, the tri...
74	13068	13	916	915	RENDERED	074_13068_p13_916-vs-915.png	...., Inc.,* 276 Mont. 55, [916->915] P.2d 799, 804-05 (1996);...
75	13072	4	48	43	RENDERED	075_13072_p4_48-vs-43.png	...th v. Chillemi* 1999 ND [48->43] ¶ 7, 590 N.W.2d 446. ...
76	13089	7	1984	1994	RENDERED	076_13089_p7_1984-vs-1994.png	...350 N.W.2d 591, 595 (N.D.[1984->1994]). Under the doctrine, ec...
77	13105	19	88	38	RENDERED	077_13105_p19_88-vs-38.png	...governed by N.D.R.App.P. [88->38], which authorizes this C...
78	13117	18	888	883	RENDERED	078_13117_p18_888-vs-883.png	... Housel,* 955 P.2d 880, [888->883] (Wyo.1998). ...
79	13124	11	589	689	RENDERED	079_13124_p11_589-vs-689.png	...bach,* 1999 ND 5, ¶ 15, [589->689] N.W.2d 566 (statement dr...
80	13133	16	88	83	RENDERED	080_13133_p16_88-vs-83.png	... *726 N.W.2d 678, 682-[88->83] (N.D.1995); *City of Fa...
81	13160	1	1988	1983	RENDERED	081_13160_p1_1988-vs-1983.png	... Dakota on September 29, [1988->1983], and since that time his...
82	13162	3	82	32	RENDERED	082_13162_p3_82-vs-32.png	...s sent “PURSUANT TO NDCC [82->32]-43-01 THROUGH 10,” which...
83	13163	18	682	632	RENDERED	083_13163_p18_682-vs-632.png	...ass. 84, 706 N.E.2d 629, [682->632] (1999); *Greer v. Kooik...
84	13165	9	1998	1993	RENDERED	084_13165_p9_1998-vs-1993.png	...rt identified August 17, [1998->1993], as the commencement dat...
85	13171	8	88	38	RENDERED	085_13171_p8_88-vs-38.png	...n under N.D.C.C. § 28-01-[88->38]. The Reids appealed. II...
86	13174	12	408	403	RENDERED	086_13174_p12_408-vs-403.png	... v. Everroad,* 704 F.2d [408->403], 407 (8th Cir.1983) (ind...
87	13197	16	642	542	RENDERED	087_13197_p16_642-vs-542.png	...is case. In *Krehlik,* [642->542] N.W.2d at 447, however, ...
88	13206	2	81	31	RENDERED	088_13206_p2_81-vs-31.png	...t a letter dated January [81->31], 1997, to the district c...
89	13208	13	128	129	RENDERED	089_13208_p13_128-vs-129.png	...8 ND 89, ¶ 5, 578 N.W.2d [128->129], where the district cour...
90	13210	20	897	397	RENDERED	090_13210_p20_897-vs-397.png	...McMann v. Richardson,* [897->397] U.S. [759] at 769, 90 S....
91	13217	2	12	42	RENDERED	091_13217_p2_12-vs-42.png	...tion of N.D.C.C. § 39-06^[12->42]. ...
92	13231	24	698	693	RENDERED	092_13231_p24_698-vs-693.png	...of Houston,* 356 N.W.2d [698->693], 695 (Minn.1984); *Linn...
93	13232	17	62	52	RENDERED	093_13232_p17_62-vs-52.png	...n,* 462 N.W.2d 147, 151-[62->52] (N.D.1990), we concluded...
94	13240	10	1998	1993	RENDERED	094_13240_p10_1998-vs-1993.png	...ty of America, Inc.1992, [1998->1993], 1995, 1997). Relocation...
95	13240	95	1972	1962	RENDERED	095_13240_p95_1972-vs-1962.png	... Nev. 223, 495 P.2d 618 ([1972->1962])). “[A] foster parent ma...
96	13240	118	862	362	RENDERED	096_13240_p118_862-vs-362.png	...uitable adoption.” Id at [862->362]. The court stated the do...
97	13260	10	508	503	RENDERED	097_13260_p10_508-vs-503.png	...estriction.” *Bulman,* [508->503] N.W.2d at 241 (citing *...
98	13261	9	6	5	RENDERED	098_13261_p9_6-vs-5.png	...nder N.D.C.C. § 14-09-06.[6->5]. ...
99	13262	11	5	8	RENDERED	099_13262_p11_5-vs-8.png	...,* 625 F.2d 1258, 1261 ([5->8]th Cir.1980). Although th...
100	13274	10	587	537	RENDERED	100_13274_p10_587-vs-537.png	... *Beavers v. Walters,* [587->537] N.W.2d 647, 652 (N.D.199...
101	13285	5	80	30	RENDERED	101_13285_p5_80-vs-30.png	...eau revoked the November [80->30], 1993, order awarding be...
102	13286	25	198	193	RENDERED	102_13286_p25_198-vs-193.png	...ing *State v. Barlow,* [198->193] N.W.2d 455, 461 (N.D.197...
103	13299	11	8	3	RENDERED	103_13299_p11_8-vs-3.png	...osing Lawyer Sanctions 9.[8->3]. E ...
104	13315	18	38	33	RENDERED	104_13315_p18_38-vs-33.png	... Under N .D.C.C. § 65-05-[38->33](3), the legislature has ...
105	13318	15	828	328	RENDERED	105_13318_p15_828-vs-328.png	...Kottke,* 110 Wis.2d 86, [828->328] N.W.2d 481, 485 (1983). ...
106	13318	24	08	03	RENDERED	106_13318_p24_08-vs-03.png	...ase. Under N.D.C.C. § 32-[08->03].2-02, when two or more p...
107	13328	12	1998	1993	RENDERED	107_13328_p12_1998-vs-1993.png	...505 N.W.2d 738, 746 (N.D.[1998->1993]). However, we have decli...
108	13365	71	455	451	RENDERED	108_13365_p71_455-vs-451.png	...d in Havens. See Havens, [455->451] U.S. at 372, 102 S.Ct. 1...
109	13394	31	815	315	RENDERED	109_13394_p31_815-vs-315.png	.... *R.B.J. Apartments,* [815->315] N.W.2d at 289. The quest...
110	13417	17	448	488	RENDERED	110_13417_p17_448-vs-488.png	...United States v. Ward,* [448->488] U.S. 242, 248, 100 S.Ct....
111	13419	46	82	32	RENDERED	111_13419_p46_82-vs-32.png	...ot violate N.D.C.C. § 28-[82->32]-12.1. B ...
112	13422	10	187	197	RENDERED	112_13422_p10_187-vs-197.png	...; *People v. Martinez,* [187->197] Mich.App. 160 , 466 N.W....
113	13424	29	12	72	RENDERED	113_13424_p29_12-vs-72.png	...Hospital v. Cass County, [12->72],* N.D. 359, 7 N.W.2d 43...
114	13428	5	8	3	RENDERED	114_13428_p5_8-vs-3.png	... are clearly erroneous; ([8->3]) using the tractor for m...
115	13434	22	8	3	RENDERED	115_13434_p22_8-vs-3.png	... S.D. 647, 107 N.W.2d 1, [8->3] (1961), and cases cited ...
116	13442	18	486	485	RENDERED	116_13442_p18_486-vs-485.png	...thwest Bank v. Ahlers,* [486->485] U.S. 197, 204-05, 108 S....
117	13442	26	615	515	RENDERED	117_13442_p26_615-vs-515.png	...v. Feldner,* 484 N.W.2d [615->515], 518 (N.D.1992), we said...
118	13453	49	24	25	RENDERED	118_13453_p49_24-vs-25.png	"...and further states, at ¶ [24->25]: ""In considering the loc..."
119	13458	5	17	47	RENDERED	119_13458_p5_17-vs-47.png	...g Co.,* 510 U.S. at 446-[17->47], 114 S.Ct. 981. However,...
120	13461	14	438	433	RENDERED	120_13461_p14_438-vs-433.png	... *Lire,* 541 N.W.2d at [438->433]-34 (citations omitted). ...
121	13490	14	16	15	RENDERED	121_13490_p14_16-vs-15.png	...ading under N.D.R.Civ.P. [16->15](d). ...
122	13522	5	18	13	RENDERED	122_13522_p5_18-vs-13.png	...s, Ghorbanni on November [18->13], 2000, presented written...
123	13534	51	487	489	RENDERED	123_13534_p51_487-vs-489.png	...stodial parent. Blotske, [487->489] N.W.2d at 610 (citations...
124	13559	4	82	32	RENDERED	124_13559_p4_82-vs-32.png	...quirements in N.D.C.C. § [82->32]-12.2-04 implicate a cour...
125	13564	6	85	35	RENDERED	125_13564_p6_85-vs-35.png	... and seeking damages of $[85->35],000 and “an order of ass...
126	13566	10	585	535	RENDERED	126_13566_p10_585-vs-535.png	...r’s New World Dictionary [585->535] (2nd Coll. Ed.1980). *S...
127	13566	44	82	32	RENDERED	127_13566_p44_82-vs-32.png	...nterest under N.D.C.C. § [82->32]-02-04. The jury awarded ...
128	13567	1	28	23	RENDERED	128_13567_p1_28-vs-23.png	...certification under Rule [28->23], N.D.R.Civ.P., and denyi...
129	13575	2	60	50	RENDERED	129_13575_p2_60-vs-50.png	...ay child support of $459.[60->50] per month, consistent wi...
130	13586	2	1988	1983	RENDERED	130_13586_p2_1988-vs-1983.png	...-orship, and 42 U.S.C. § [1988->1983] claims against the Texas...
131	13586	7	586	536	RENDERED	131_13586_p7_586-vs-536.png	... *Mitchell v. Sanborn,* [586->536] N.W.2d 678, 681 (N.D.199...
132	13586	11	870	871	RENDERED	132_13586_p11_870-vs-871.png	...*Gessner,* 529 N.W.2d at [870->871] . Instead, the converse ...
133	13589	10	284	234	RENDERED	133_13589_p10_284-vs-234.png	...v. Raywalt,* 436 N.W.2d [284->234], 289 (N.D.1989)). We hav...
134	13591	3	26	25	RENDERED	134_13591_p3_26-vs-25.png	... the judgment on October [26->25], 2001. II ...
135	13596	7	1913	1914	RENDERED	135_13596_p7_1913-vs-1914.png	... N.D. 504, 144 N.W. 713 ([1913->1914]), this Court considered ...
136	13600	15	85	35	RENDERED	136_13600_p15_85-vs-35.png	...person” under N.D.C.C. § [85->35]-18-01, and Altru had a l...
137	13608	4	08	03	RENDERED	137_13608_p4_08-vs-03.png	...day. Under N.D.C.C. § 25-[08->03].1-12, the court must giv...
138	13615	8	1981	1980	RENDERED	138_13615_p8_1981-vs-1980.png	...t. 1245, 67 L.Ed.2d 493 ([1981->1980]) (“Indian tribes retain ...
139	13636	11	86	36	RENDERED	139_13636_p11_86-vs-36.png	...d property will provide $[86->36],206 in taxable valuation...
140	13646	3	80	30	RENDERED	140_13646_p3_80-vs-30.png	...ss County within thirty ([80->30]) days after this notice ...
141	13647	15	1840	1340	RENDERED	141_13647_p15_1840-vs-1340.png	...tes v. Disla,* 805 F.2d [1840->1340], 1347 (9th Cir.1986). ...
142	13659	8	488	448	RENDERED	142_13659_p8_488-vs-448.png	...ce. *Gould v. Miller,* [488->448] N.W.2d 42, 44 (N.D.1992)...
143	13659	9	488	448	RENDERED	143_13659_p9_488-vs-448.png	...decision. *See Gould,* [488->448] N.W.2d at 44 (stating th...
144	13665	5	1962	1960	RENDERED	144_13665_p5_1962-vs-1960.png	...117 N.W.2d 290, 302 (N.D.[1962->1960]). ...
145	13672	9	80	30	RENDERED	145_13672_p9_80-vs-30.png	...e of law for a period of [80->30] days, effective January ...
146	13682	11	1986	1985	RENDERED	146_13682_p11_1986-vs-1985.png	....2d 1528, 1533 (11th Cir.[1986->1985]), an alleged Fourth Amen...
147	13683	6	589	539	RENDERED	147_13683_p6_589-vs-539.png	... *See Hager v. Hager,* [589->539] N.W.2d 304, 305 (N.D.199...
148	13740	16	682	632	RENDERED	148_13740_p16_682-vs-632.png	...tr. Go.,* 448 N.W.2d at [682->632] n. 2. ...
149	13749	11	66	56	RENDERED	149_13749_p11_66-vs-56.png	...ND 126, ¶ 19, 680 N.W.2d [66->56]. He may not raise this i...
150	13749	11	680	630	RENDERED	150_13749_p11_680-vs-630.png	...te,* 2001 ND 126, ¶ 19, [680->630] N.W.2d 66. He may not ra...
151	13749	11	82	32	RENDERED	151_13749_p11_82-vs-32.png	...ore, under N.D.C.C. § 29-[82->32].1-12(2)(a), Murchison ha...
152	13753	6	3801	3301	RENDERED	152_13753_p6_3801-vs-3301.png	...am. *See* 26 U.S.C. §§ [3801->3301] through 3311; N.D.C.C. c...
153	13753	15	798	793	RENDERED	153_13753_p15_798-vs-793.png	... In *Edinger,* [798->793] P.2d at 1007, the court ...
154	13789	18	89	39	RENDERED	154_13789_p18_89-vs-39.png	...governed by N.D.R.Civ.P. [89->39].1(b), which provides: ...
155	13795	5	8	3	RENDERED	155_13795_p5_8-vs-3.png	...onships; he was awarded $[8->3],000,000 in damages. Misk...
156	13812	16	803	303	RENDERED	156_13812_p16_803-vs-303.png	...ll Tel. Co. v. Cowger,* [803->303] N.W.2d 791, 795 (N.D.198...
157	13813	17	656	655	RENDERED	157_13813_p17_656-vs-655.png	...,* 2003 ND 5, ¶ 2 n. 2, [656->655] N.W.2d 712. ...
158	13814	5	887	837	RENDERED	158_13814_p5_887-vs-837.png	...stgo, Inc.,* 479 N.W.2d [887->837], 844 (N.D.1992)). “A tri...
159	13830	15	89	39	RENDERED	159_13830_p15_89-vs-39.png	...n violation of NDCC [§ ] [89->39]-08-01 or equivalent ordi...
160	13850	7	2002	2003	RENDERED	160_13850_p7_2002-vs-2003.png	... Act,* 100 A.L.R.5th 1 ([2002->2003]). The most significant c...
161	13854	14	568	563	RENDERED	161_13854_p14_568-vs-563.png	... *Aune,* 478 N.W.2d at [568->563]-64; *Oberlander,* 460 ...
162	13881	2	1998	1993	RENDERED	162_13881_p2_1998-vs-1993.png	...street. Between 1990 and [1998->1993], Grewal built four apart...
163	13882	9	28	23	RENDERED	163_13882_p9_28-vs-23.png	... Ass’n,* 2002 ND 209, ¶ [28->23], 655 N.W.2d 60 (citation...
164	13882	17	348	343	RENDERED	164_13882_p17_348-vs-343.png	...ment (Second) of Torts § [348->343]A (1965)). Additionally, ...
165	13922	10	892	392	RENDERED	165_13922_p10_892-vs-392.png	...Corp. v. Christianson,* [892->392] N.W.2d 385, 386 (N.D.198...
166	13940	10	1885	1385	RENDERED	166_13940_p10_1885-vs-1385.png	.... Practice & Procedure § [1885->1385]* (2d ed.1990) for his p...
167	13944	6	19	49	RENDERED	167_13944_p6_19-vs-49.png	...C. §§ 28-32-46 and 28-32^[19->49], we affirm an agency’s d...
168	13959	19	382	388	RENDERED	168_13959_p19_382-vs-388.png	...wnship v. Skauge, 6 N.D. [382->388] , 71 N.W. 544 . Id. at 6...
169	13993	4	2008	2003	RENDERED	169_13993_p4_2008-vs-2003.png	...ring was held on July 2, [2008->2003]. At the hearing, Kline d...
170	13998	8	16	15	RENDERED	170_13998_p8_16-vs-15.png	...04(4), 12.1-06.1-01(2)00([16->15]), 12.1-06.1-05, 12.1-11-...
171	13998	9	781	281	RENDERED	171_13998_p9_781-vs-281.png	...p.4th 392, 6 Cal.Rptr.2d [781->281] (1992); *Murphy v. A.A....
172	13999	31	1992	1994	RENDERED	172_13999_p31_1992-vs-1994.png	...485 N.W.2d 792, 795 (N.D.[1992->1994]). “On review, we do not ...
173	14012	16	2002	2001	RENDERED	173_14012_p16_2002-vs-2001.png	...also State v. Daggett,* [2002->2001] WI App 32, ¶ 15, 640 N.W...
174	14048	23	1975	1995	RENDERED	174_14048_p23_1975-vs-1995.png	...26 N.W.2d 370, 371 (N.D.[1975->1995]). The Court has no infor...
175	14057	4	82	32	RENDERED	175_14057_p4_82-vs-32.png	...ouch’s account, and the $[82->32],000 check Couch wrote fo...
176	14062	6	2002	2001	RENDERED	176_14062_p6_2002-vs-2001.png	...4 F.3d 797, 803 (8th Cir.[2002->2001]). A party may move for j...
177	14064	16	89	39	RENDERED	177_14064_p16_89-vs-39.png	...provisions in N.D.C.C. § [89->39]-20-03.1 are basic and ma...
178	14087	10	1925	1923	RENDERED	178_14087_p10_1925-vs-1923.png	...S.Ct. 280, 69 L.Ed. 543 ([1925->1923]). Under the automobile e...
179	14088	16	8	3	RENDERED	179_14088_p16_8-vs-3.png	...ation. Q. And there’s [8->3] denominations? A. Yes...
180	14100	38	35	36	RENDERED	180_14100_p38_35-vs-36.png	...S. 614 , 93 S.Ct. 1146 , [35->36] L.Ed.2d 536 (1973). Sec...
181	14107	5	2008	2003	RENDERED	181_14107_p5_2008-vs-2003.png	...of his action in October [2008->2003], was within the two-year...
182	14107	9	20080317	20030317	RENDERED	182_14107_p9_20080317-vs-20030317.png	...ocker and Traill County, [20080317->20030317] and 20030318) with the f...
183	14108	8	8	3	RENDERED	183_14108_p8_8-vs-3.png	...ed (its relevance), and ([8->3]) an argument supporting ...
184	14109	9	28	23	RENDERED	184_14109_p9_28-vs-23.png	...1(24) (now 75-02-02.1-01([28->23])). A “good faith effort ...
185	14119	16	3800	3300	RENDERED	185_14119_p16_3800-vs-3300.png	...expenses would be about $[3800->3300] and her monthly income w...
186	14120	3	84	34	RENDERED	186_14120_p3_84-vs-34.png	...ucille Bergman withdrew $[84->34],000 from her money marke...
187	14154	20	08	03	RENDERED	187_14154_p20_08-vs-03.png	...cause N.D.C.C. § 12.1-17-[08->03] does not specify any cul...
188	14176	6	818	813	RENDERED	188_14176_p6_818-vs-813.png	...o Dahl in the amount of $[818->813].97. Ziegler and Kitsch c...
189	14183	9	1983	1993	RENDERED	189_14183_p9_1983-vs-1993.png	...02 N.W.2d 831, 835 (N.D. [1983->1993]). ...
190	14212	21	466	446	RENDERED	190_14212_p21_466-vs-446.png	... *Harwood State Bank,* [466->446] N.W.2d 601, *National B...
191	14216	19	48	43	RENDERED	191_14216_p19_48-vs-43.png	...*Tibor,* 1999 ND 150, ¶ [48->43], 598 N.W.2d 480 (Sand-st...
192	14216	22	287	237	RENDERED	192_14216_p22_287-vs-237.png	... worth has increased by $[287->237],097. Thus, for there to ...
193	14222	12	470	420	RENDERED	193_14222_p12_470-vs-420.png	... ND 174, ¶ 5, 617 N.W.2d [470->420]. No actual controversy e...
194	14229	5	809	309	RENDERED	194_14229_p5_809-vs-309.png	...t Co.,* 427 N.W.2d 307, [809->309]-10 (N.D.1988); *Federal...
195	14254	15	10	40	RENDERED	195_14254_p15_10-vs-40.png	...ration. N.D.C.C. § 28-32^[10->40](1). Any party to “any pr...
196	14258	8	438	433	RENDERED	196_14258_p8_438-vs-433.png	...f. State v. Ringquist,* [438->433] N.W.2d 207 (N.D.1988) (s...
197	14266	9	08	03	RENDERED	197_14266_p9_08-vs-03.png	...s. N.D. Admin. Code § 75-[08->03]-28-11(5). The rule reads...
198	14266	9	28	23	RENDERED	198_14266_p9_28-vs-23.png	...N.D. Admin. Code § 75-08-[28->23]-11(5). The rule reads th...
199	14277	6	88	83	RENDERED	199_14277_p6_88-vs-83.png	...J.A.D.,* 492 N.W.2d 82, [88->83] (N.D.1992)). Testimony a...
200	14312	9	82	32	RENDERED	200_14312_p9_82-vs-32.png	...on under N.D.C.C. § 12.1-[82->32]-15(7), is to enable law ...
201	14313	15	82	32	RENDERED	201_14313_p15_82-vs-32.png	...sumably under N.D.C.C. § [82->32]-03-05, which states inte...
