volume	opinion_id	primary_citation	db_name	opinion_text_title	wl_doc_caption	doc_path	jaccard	verdict	suggested_action	suggested_new_value	doc_pair_oid	doc_pair_name
20	674	20 N.D. 370	State v. McAndress	State v. McAndress	STATE v. KOCH.	/Users/jerod/refs/nd/opin/N.D./20/0370-State-v-Koch.doc	0.600	SAME	update_case_name	State v. Koch	674	State v. McAndress
20	683	20 N.D. 412	Winterer v. Minneapolis, St. P. & S. S. M. Ry. Co.	Winterer v. Minneapolis, St. P. & S. S. M. Ry. Co.	STOLTZE v. HURD et al.	/Users/jerod/refs/nd/opin/N.D./20/0412-Stoltze-v-Hurd.doc	0.023	ORPHAN_SIBLING	human_review_potential_gap			
21	699	21 N.D. 69	Willis v. Weatherwax	Willis v. Weatherwax	STATE ex rel. KRAMAR v. KIEFER, County Auditor.	/Users/jerod/refs/nd/opin/N.D./21/0069-State-v-Kiefer.doc	0.091	ALREADY_PAIRED	no_change		733	State ex rel. Kramer v. Kiefer
21	765	21 N.D. 348	Lanpher-Skinner Co. v. Quam	Lanpher-Skinner Co. v. Quam	HEARD v. HOLBROOK.	/Users/jerod/refs/nd/opin/N.D./21/0348-Heard-v-Holbrook.doc	0.038	ORPHAN_SIBLING	human_review_potential_gap			
23	929	23 N.D. 352	Stotlar v. Citizens' Insurance	Stotlar v. Citizens' Insurance	BISMARCK WATER SUPPLY CO. v. CITY OF BISMARCK.	/Users/jerod/refs/nd/opin/N.D./23/0352-Bismarck-Water-Supply-Co-v-City-of-Bismarck.doc	0.027	ORPHAN_SIBLING	human_review_potential_gap			
24	974	24 N.D. 134	Robertson Lumber Co. v. Clarke	Robertson Lumber Co. v. Clarke	ROBERTSON LUMBER CO. v. SWENSON et al.	/Users/jerod/refs/nd/opin/N.D./24/0134-Robertson-Lumber-Co-v-Swenson.doc	0.975	SAME	update_case_name	Robertson Lumber Co. v. Swenson	974	Robertson Lumber Co. v. Clarke
24	978	24 N.D. 395	McCarthy v. Talley	McCarthy v. Talley	McCARTY v. KEPRETA.	/Users/jerod/refs/nd/opin/N.D./24/0395-McCarty-v-Kepreta.doc	0.023	ORPHAN_SIBLING	human_review_potential_gap			
24	1012	24 N.D. 326	Burger v. Sinclair	Burger v. Sinclair	SECKERSON v. SINCLAIR.	/Users/jerod/refs/nd/opin/N.D./24/0326-Seckerson-v-Sinclair.doc	0.054	ALREADY_PAIRED	no_change		1013	Seckerson v. Sinclair
26	1145	26 N.D. 622	Atwood v. Tucker	Atwood v. Tucker	ATWOOD v. ROAN (TUCKER et al. Garnishees).	/Users/jerod/refs/nd/opin/N.D./26/0622-Atwood-v-Roan.doc	0.962	SAME	update_case_name	Atwood v. Roan (Tucker Garnishees)	1145	Atwood v. Tucker
27	1157	27 N.D. 226	Ertelt v. Lillethun	Ertelt v. Lillethun	GRUMAN et al. v. LILLETHUN et al. KUNZE v. SAME.	/Users/jerod/refs/nd/opin/N.D./27/0226-Gruman-v-Lillethun.doc	0.836	SAME	update_case_name	Gruman v. Lillethun Kunze v. Same	1157	Ertelt v. Lillethun
27	1186	27 N.D. 458	Hackney v. Lynn	Hackney v. Lynn	BUSSEY et al. v. BOYNTON.	/Users/jerod/refs/nd/opin/N.D./27/0458-Bussey-v-Boynton.doc	0.348	AMBIG	human_review		1189	Bussey v. Boynton
30	1339	30 N.D. 103	O'Hair v. Sutherland	O'Hair v. Sutherland	O’HAIR v. SUTHERLAND.	/Users/jerod/refs/nd/opin/N.D./30/0103-O'Hair-v-Sutherland.doc	1.000	FALSE_POSITIVE_NORM	no_change			
30	1354	30 N.D. 221	In re Appeal of Minneapolis, St. Paul, & Sault Ste. Marie Railroad	In re Appeal of Minneapolis, St. Paul, & Sault Ste. Marie Railroad	MINNEAPOLIS, ST. P. & S. S. M. R. CO. v. STATE BOARD OF RY. COM’RS.	/Users/jerod/refs/nd/opin/N.D./30/0221-Minneapolis-St-P-And-SSMR-Co-v-State-Board-of-Ry-Com'rs.doc	0.973	SAME	update_case_name	Minneapolis, St. P. & S. S. M. R. Co. v. State Board of Ry. Com'Rs	1354	In re Appeal of Minneapolis, St. Paul, & Sault Ste. Marie Railroad
30	1366	30 N.D. 213	O'Laughlin v. Carlson	O'Laughlin v. Carlson	O’LAUGHLIN v. CARLSON, County Auditor.	/Users/jerod/refs/nd/opin/N.D./30/0213-O'Laughlin-v-Carlson.doc	1.000	FALSE_POSITIVE_NORM	no_change			
30	1367	30 N.D. 374	O'Leary v. Schoenfeld	O'Leary v. Schoenfeld	O’LEARY v. SCHOENFELD et al.	/Users/jerod/refs/nd/opin/N.D./30/0374-O'Leary-v-Schoenfeld.doc	1.000	FALSE_POSITIVE_NORM	no_change			
32	1486	32 N.D. 373	State v. Jensen	State v. Jensen	SUNDAHL v. FIRST STATE BANK OF EDMUNDS.	/Users/jerod/refs/nd/opin/N.D./32/0373-Sundahl-v-First-State-Bank-of-Edmunds.doc	0.033	ORPHAN_SIBLING	human_review_potential_gap			
33	1528	33 N.D. 272	State Bank v. Hurley Farmers Elevator Co.	State Bank v. Hurley Farmers Elevator Co.	STATE BANK OF MAXBASS v. HURLEY FARMERS’ ELEVATOR CO. (WHITMORE, Intervener). SAME v. JOHN D. GRUBER CO. (WHITMORE, Intervener).	/Users/jerod/refs/nd/opin/N.D./33/0272-State-Bank-of-Maxbass-v-Hurley-Farmers'-Elevator-Co.doc	0.915	SAME	update_case_name	State Bank of Maxbass v. Hurley Farmers' Elevator Co. (Whitmore, Intervener). Same v. John D. Gruber Co. (Whitmore, Intervener)	1528	State Bank v. Hurley Farmers Elevator Co.
34	1640	34 N.D. 601	Tallmadge v. Weber	Tallmadge v. Weber	MERCER COUNTY STATE BANK OF MANHAVEN v. HAYES et al.	/Users/jerod/refs/nd/opin/N.D./34/0601-Mercer-County-State-Bank-of-Manhaven-v-Hayes.doc	0.031	ORPHAN_SIBLING	human_review_potential_gap			
37	1800	37 N.D. 532	State Bank v. O'Laughlin	State Bank v. O'Laughlin	STATE BANK OF MENAGHA v. O’LAUGHLIN.	/Users/jerod/refs/nd/opin/N.D./37/0532-State-Bank-of-Menagha-v-O'Laughlin.doc	0.948	SAME	update_case_name	State Bank of Menagha v. O'Laughlin	1800	State Bank v. O'Laughlin
39	1924	39 N.D. 427	O'Brien v. Haslam	O'Brien v. Haslam	O’BRIEN v. HASLAM.	/Users/jerod/refs/nd/opin/N.D./39/0427-O'Brien-v-Haslam.doc	1.000	FALSE_POSITIVE_NORM	no_change			
40	1992	40 N.D. 618	Spatgen v. O'Neil	Spatgen v. O'Neil	SPATGEN v. O’NEIL et al.	/Users/jerod/refs/nd/opin/N.D./40/0618-Spatgen-v-O'Neil.doc	1.000	FALSE_POSITIVE_NORM	no_change			
42	2192	42 N.D. 306	Martin v. O'Brien	Martin v. O'Brien	MARTIN v. O’BRIEN.	/Users/jerod/refs/nd/opin/N.D./42/0306-Martin-v-O'Brien.doc	1.000	FALSE_POSITIVE_NORM	no_change			
44	2167	44 N.D. 250	Olson v. Middlewest Grain Co.	Olson v. Middlewest Grain Co.	NELSON v. MIDDLEWEST GRAIN CO. et al.	/Users/jerod/refs/nd/opin/N.D./44/0250-Nelson-v-Middlewest-Grain-Co.doc	0.492	AMBIG	human_review		2169	Nelson v. Middlewest Grain Co.
44	2171	44 N.D. 247	Nelson v. Middlewest Grain Co.	Nelson v. Middlewest Grain Co.	LAMMADEE v. MIDDLEWEST GRAIN CO. et al.	/Users/jerod/refs/nd/opin/N.D./44/0247-Lammadee-v-Middlewest-Grain-Co.doc	0.483	AMBIG	human_review			
45	2358	45 N.D. 362	Solon v. O'Shea	Solon v. O'Shea	SOLON et al. v. O’SHEA (FARGO NAT. BANK, Garnishee).	/Users/jerod/refs/nd/opin/N.D./45/0362-Solon-v-O'Shea.doc	1.000	FALSE_POSITIVE_NORM	no_change			
45	2360	45 N.D. 641	O'Hare v. Bismarck Bank	O'Hare v. Bismarck Bank	O’HARE v. BISMARCK BANK et al.	/Users/jerod/refs/nd/opin/N.D./45/0641-O'Hare-v-Bismarck-Bank.doc	1.000	FALSE_POSITIVE_NORM	no_change			
47	2501	47 N.D. 397	Northwestern Telephone Exchange Co. v. Workmen's Compensation Bureau	Northwestern Telephone Exchange Co. v. Workmen's Compensation Bureau	NORTHWESTERN TELEPHONE EXCH. CO. v. WORKMEN’S COMPENSATION BUREAU et al. GRAND FORKS STEAM LAUNDRY CO. et al. v. SAME.	/Users/jerod/refs/nd/opin/N.D./47/0397-Northwestern-Tel-Exch-Co-v-Workmen's-Compensation-Bureau.doc	0.940	SAME	update_case_name	Northwestern Telephone Exch. Co. v. Workmen's Compensation Bureau Grand Forks Steam Laundry Co. v. Same	2501	Northwestern Telephone Exchange Co. v. Workmen's Compensation Bureau
48	2589	48 N.D. 487	Citizens' State Bank v. Sorlein	Citizens' State Bank v. Sorlein	CITIZENS’ STATE BANK OF PINGREE v. SORLIEN et al.	/Users/jerod/refs/nd/opin/N.D./48/0487-Citizens'-State-Bank-of-Pingree-v-Sorlien.doc	0.873	SAME	update_case_name	Citizens' State Bank of Pingree v. Sorlien	2589	Citizens' State Bank v. Sorlein
48	2597	48 N.D. 577	Johnson Construction Co. v. Hildreth	Johnson Construction Co. v. Hildreth	HANSON v. HOUSKA et al.	/Users/jerod/refs/nd/opin/N.D./48/0577-Hanson-v-Houska.doc	0.035	ALREADY_PAIRED	no_change		2606	Hanson v. Houska
48	2616	48 N.D. 685	Kenneggy v. Northern Pacific Railway Co.	Kenneggy v. Northern Pacific Railway Co.	KENNELLY v. NORTHERN PAC. RY. CO.	/Users/jerod/refs/nd/opin/N.D./48/0685-Kennelly-v-Northern-Pac-Ry-Co.doc	0.981	SAME	update_case_name	Kennelly v. Northern Pac. Ry. Co.	2616	Kenneggy v. Northern Pacific Railway Co.
49	2723	49 N.D. 142	Sheffield v. Stone, Ordean, Wells Co.	Sheffield v. Stone, Ordean, Wells Co.	SHEFFIELD v. STONE-ORDEAN-WELLS CO.	/Users/jerod/refs/nd/opin/N.D./49/0142-Sheffield-v-Stone-Ordean-Wells-Co.doc	0.953	SAME	update_case_name	Sheffield v. Stone-Ordean-Wells Co.	2723	Sheffield v. Stone, Ordean, Wells Co.
49	2729	49 N.D. 160	O'Dell v. Hiney	O'Dell v. Hiney	O’DELL v. HINEY.	/Users/jerod/refs/nd/opin/N.D./49/0160-O'Dell-v-Hiney.doc	1.000	FALSE_POSITIVE_NORM	no_change			
50	2861	50 N.D. 114	Brady v. Estate of Brady	Brady v. Estate of Brady	BRADY v. BRADY’S ESTATE et al.	/Users/jerod/refs/nd/opin/N.D./50/0114-Brady-v-Brady's-Estate.doc	0.963	SAME	update_case_name	Brady v. Brady's Estate	2861	Brady v. Estate of Brady
50	2935	50 N.D. 813	Farmers State Bank v. Jeske	Farmers State Bank v. Jeske	HASSEN v. SALEM et al.	/Users/jerod/refs/nd/opin/N.D./50/0813-Hassen-v-Salem.doc	0.129	ALREADY_PAIRED	no_change		2946	Hassen v. Salem
50	2964	50 N.D. 894	Everetts v. Northern Pacific Railway Co.	Everetts v. Northern Pacific Railway Co.	EVERETTS v. NORTHERN PAC. RY. CO. McNEER v. SAME.	/Users/jerod/refs/nd/opin/N.D./50/0894-Everetts-v-Northern-Pac-Ry-Co.doc	0.985	SAME	update_case_name	Everetts v. Northern Pac. Ry. Co. McNeer v. Same	2964	Everetts v. Northern Pacific Railway Co.
51	2955	51 N.D. 13	Hintz v. Jackson	Hintz v. Jackson	KLINGENSTEIN v. NATIONAL UNION FIRE INS. CO.	/Users/jerod/refs/nd/opin/N.D./51/0013-Klingenstein-v-National-Union-Fire-Ins-Co.doc	0.050	ALREADY_PAIRED	no_change		2958	Klingenstein v. National Union Fire Insurance Co.
51	3011	51 N.D. 300	Dorr County State Bank v. Adams	Dorr County State Bank v. Adams	DICKEY COUNTY v. GESME et al.	/Users/jerod/refs/nd/opin/N.D./51/0300-Dickey-County-v-Gesme.doc	0.155	ALREADY_PAIRED	no_change		3007	County of Dickey v. Gesme
51	3017	51 N.D. 842	Quarton v. O'Neil	Quarton v. O'Neil	QUARTON v. O’NEIL.	/Users/jerod/refs/nd/opin/N.D./51/0842-Quarton-v-O'Neil.doc	1.000	FALSE_POSITIVE_NORM	no_change			
51	3060	51 N.D. 936	County of Burleigh v. Standard Oil Co.	County of Burleigh v. Standard Oil Co.	BURLEIGH COUNTY v. STANDARD OIL CO. OF INDIANA. SAME v. INTERNATIONAL HARVESTER CO. OF AMERICA.	/Users/jerod/refs/nd/opin/N.D./51/0936-Burleigh-County-v-Standard-Oil-Co-of-Indiana.doc	0.974	SAME	update_case_name	Burleigh County v. Standard Oil Co. of Indiana. Same v. International Harvester Co. of America	3060	County of Burleigh v. Standard Oil Co.
51	3063	51 N.D. 946	Embden. State Bank v. Schultz	Embden. State Bank v. Schultz	EMBDEN STATE BANK v. SCHULZE.	/Users/jerod/refs/nd/opin/N.D./51/0946-Embden-State-Bank-v-Schulze.doc	0.905	SAME	update_case_name	Embden State Bank v. Schulze	3063	Embden. State Bank v. Schultz
53	3197	53 N.D. 188	Boyer v. Coughlin	Boyer v. Coughlin	In re COUGHLIN’S ESTATE. GERDING v. COUGHLIN. No. 4888. |	/Users/jerod/refs/nd/opin/N.D./53/0188-In-re-Coughlin's-Estate.doc	0.944	SAME	update_case_name	In re Coughlin's Estate. Gerding v. Coughlin	3197	Boyer v. Coughlin
53	3301	53 N.D. 789	Mountrail County v. Farmers State Bank	Mountrail County v. Farmers State Bank	MOUNTRAIL COUNTY v. FARMERS’ STATE BANK et al. SAME v. SCANDINAVIAN AMERICAN STATE BANK et al.	/Users/jerod/refs/nd/opin/N.D./53/0789-Mountrail-County-v-Farmers'-State-Bank.doc	0.874	SAME	update_case_name	Mountrail County v. Farmers' State Bank Same v. Scandinavian American State Bank	3301	Mountrail County v. Farmers State Bank
54	3373	54 N.D. 428	Pederson v. O'Rourke	Pederson v. O'Rourke	PEDERSON v. O’ROURKE. No. 5118. |	/Users/jerod/refs/nd/opin/N.D./54/0428-Pederson-v-O'Rourke.doc	1.000	FALSE_POSITIVE_NORM	no_change			
54	3392	54 N.D. 665	Northwestern Nat. Bank v. Reiniger	Northwestern Nat. Bank v. Reiniger	NORTHWESTERN NAT. BANK OF MINNEAPOLIS et al. v. REINIGER et al. SAME v. SNYDER et al.	/Users/jerod/refs/nd/opin/N.D./54/0665-Northwestern-Nat-Bank-of-Minneapolis-v-Reiniger.doc	0.973	SAME	update_case_name	Northwestern Nat. Bank of Minneapolis v. Reiniger Same v. Snyder	3392	Northwestern Nat. Bank v. Reiniger
55	3471	55 N.D. 218	Gausvik v. Larson Richter Co.	Gausvik v. Larson Richter Co.	GAUSVIK v. LARSEN RICHTER CO. STEARNS MOTOR CO. v. SAME.	/Users/jerod/refs/nd/opin/N.D./55/0218-Gausvik-v-Larsen-Richter-Co.doc	0.944	SAME	update_case_name	Gausvik v. Larsen Richter Co. Stearns Motor Co. v. Same	3471	Gausvik v. Larson Richter Co.
55	3548	55 N.D. 817	O'Brien v. J. C. Penney Co.	O'Brien v. J. C. Penney Co.	O’BRIEN v. J. C. PENNEY CO. et al. No. 5207. |	/Users/jerod/refs/nd/opin/N.D./55/0817-O'Brien-v-JC-Penney-Co.doc	1.000	FALSE_POSITIVE_NORM	no_change			
55	3566	55 N.D. 867	Weber v. O'Connell	Weber v. O'Connell	WEBER v. O’CONNELL. No. 5333. |	/Users/jerod/refs/nd/opin/N.D./55/0867-Weber-v-O'Connell.doc	1.000	FALSE_POSITIVE_NORM	no_change			
56	3588	56 N.D. 60	In re the Guardianship of Campbell	In re the Guardianship of Campbell	In re CAMPBELL’S GUARDIANSHIP. CAMPBELL v. COSTELLO. No. 5201. |	/Users/jerod/refs/nd/opin/N.D./56/0060-In-re-Campbell's-Guardianship.doc	0.974	SAME	update_case_name	In re Campbell's Guardianship. Campbell v. Costello	3588	In re the Guardianship of Campbell
56	3641	56 N.D. 407	Finlayson v. Bryan	Finlayson v. Bryan	FINLAYSON v. YELLOW CAB CO. et al. No. 5407. |	/Users/jerod/refs/nd/opin/N.D./56/0407-Finlayson-v-Yellow-Cab-Co.doc	0.953	SAME	update_case_name	Finlayson v. Yellow Cab Co.	3641	Finlayson v. Bryan
56	3642	56 N.D. 416	Dolan v. O'Rourke	Dolan v. O'Rourke	DOLAN v. O’ROURKE. No. 5460. |	/Users/jerod/refs/nd/opin/N.D./56/0416-Dolan-v-O'Rourke.doc	1.000	FALSE_POSITIVE_NORM	no_change			
56	3684	56 N.D. 737	County of Morton v. County of Burleigh	County of Morton v. County of Burleigh	STATE v. THIELE. MORTON COUNTY v. BURLEIGH COUNTY.	/Users/jerod/refs/nd/opin/N.D./56/0737-State-v-Thiele.doc	0.950	SAME	update_case_name	State v. Thiele. Morton County v. Burleigh County	3684	County of Morton v. County of Burleigh
57	3761	57 N.D. 63	Jorgensen v. Deviney	Jorgensen v. Deviney	JORGENSEN et al. v. DE VINEY. No. 5226. |	/Users/jerod/refs/nd/opin/N.D./57/0063-Jorgensen-v-De-Viney.doc	0.984	SAME	update_case_name	Jorgensen v. De Viney	3761	Jorgensen v. Deviney
58	3889	58 N.D. 554	State v. O'Connor	State v. O'Connor	STATE v. O’CONNOR. No. 15. |	/Users/jerod/refs/nd/opin/N.D./58/0554-State-v-O'Connor.doc	1.000	FALSE_POSITIVE_NORM	no_change			
60	4047	60 N.D. 1	Wood v. Bryne	Wood v. Bryne	WOOD et al. v. BYRNE, Secretary of State. No. 5837. |	/Users/jerod/refs/nd/opin/N.D./60/0001-Wood-v-Byrne.doc	0.972	SAME	update_case_name	Wood v. Byrne	4047	Wood v. Bryne
60	4087	60 N.D. 359	O'Sullivan v. Vadnais	O'Sullivan v. Vadnais	O’SULLIVAN v. VADNAIS. No. 5877. |	/Users/jerod/refs/nd/opin/N.D./60/0359-O'Sullivan-v-Vadnais.doc	1.000	FALSE_POSITIVE_NORM	no_change			
61	4179	61 N.D. 168	Estate of Druhl v. Druhl	Estate of Druhl v. Druhl	In re DRUHL’S ESTATE. LEWIS v. DRUHL et al. No. 5893. |	/Users/jerod/refs/nd/opin/N.D./61/0168-In-re-Druhl's-Estate.doc	0.917	SAME	update_case_name	In re Druhl's Estate. Lewis v. Druhl	4179	Estate of Druhl v. Druhl
62	4302	62 N.D. 457	O'Leary v. North Dakota Workmen's Compensation Bureau	O'Leary v. North Dakota Workmen's Compensation Bureau	O’LEARY v. NORTH DAKOTA WORKMEN’S COMPENSATION BUREAU. No. 5992. |	/Users/jerod/refs/nd/opin/N.D./62/0457-O'Leary-v-North-Dakota-Workmen's-Compensation-Bureau.doc	1.000	FALSE_POSITIVE_NORM	no_change			
62	4338	62 N.D. 631	State v. Delong	State v. Delong	STATE v. DE LONG. Cr. No. 98. |	/Users/jerod/refs/nd/opin/N.D./62/0631-State-v-De-Long.doc	0.889	SAME	update_case_name	State v. De Long.	4338	State v. Delong
63	4365	63 N.D. 113	Ose v. O'Connell	Ose v. O'Connell	OSE v. O’CONNELL. No. 6038. |	/Users/jerod/refs/nd/opin/N.D./63/0113-Ose-v-O'Connell.doc	1.000	FALSE_POSITIVE_NORM	no_change			
63	4408	63 N.D. 538	Mandan Deaconess Hospital v. County of Sioux	Mandan Deaconess Hospital v. County of Sioux	MANDAN DEACONESS HOSPITAL v. SIOUX COUNTY. NICKERSON v. SAME.	/Users/jerod/refs/nd/opin/N.D./63/0538-Mandan-Deaconess-Hospital-v-Sioux-County.doc	0.938	SAME	update_case_name	Mandan Deaconess Hospital v. Sioux County. Nickerson v. Same	4408	Mandan Deaconess Hospital v. County of Sioux
63	4416	63 N.D. 566	Re Markhus's Estate	Re Markhus's Estate	In re MARKHUS’S ESTATE. MILLER v. WING. No. 6132. |	/Users/jerod/refs/nd/opin/N.D./63/0566-In-re-Markhus'-Estate.doc	0.938	SAME	update_case_name	In re Markhus's Estate. Miller v. Wing	4416	Re Markhus's Estate
64	4482	64 N.D. 367	Thorvaldson-Johnson Co. v. Cochran	Thorvaldson-Johnson Co. v. Cochran	OTT v. KELLEY. No. 6233. |	/Users/jerod/refs/nd/opin/N.D./64/0367-Ott-v-Kelley.doc	0.072	ALREADY_PAIRED	no_change		4484	Ott v. Kelley
65	4594	65 N.D. 490	Posey Ex Rel. Posey v. Krogh	Posey Ex Rel. Posey v. Krogh	POSEY v. KROGH. MILNE v. SAME.	/Users/jerod/refs/nd/opin/N.D./65/0490-Posey-v-Krogh.doc	0.940	SAME	update_case_name	Posey v. Krogh. Milne v. Same	4594	Posey Ex Rel. Posey v. Krogh
65	4622	65 N.D. 681	"Casselton Reporter Ex Rel. Potter v. Alleged Newspaper Called ""The Fargo Forum"""	Casselton Reporter Ex Rel. Potter v. Alleged Newspaper Called	CASSELTON REPORTER et al. v. THE FARGO FORUM et al. STATE ex rel. CASSELTON REPORTER et al. v.	/Users/jerod/refs/nd/opin/N.D./65/0681-Casselton-Reporter-v-The-Fargo-Forum.doc	0.939	SAME_NEEDS_HUMAN	human_review	Casselton Reporter v. the Fargo Forum State ex rel. Casselton Reporter	4622	"Casselton Reporter Ex Rel. Potter v. Alleged Newspaper Called ""The Fargo Forum"""
