db	expected_doc	batch	rows	first_timestamp	match
opinions.db	CHANGELOG-data.md	westlaw-nd-vol17-casenames	2	2026-05-20T14:36:09	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol19-casenames	2	2026-05-24T13:37:24	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol20-casenames	1	2026-05-24T13:38:44	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol21-casenames	1	2026-05-24T13:39:34	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol22-casenames	1	2026-05-24T13:41:15	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol23-casenames	1	2026-05-24T13:42:35	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol66-casenames	2	2026-05-24T14:02:33	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol77-casenames	1	2026-05-24T14:05:12	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol78-casenames	1	2026-05-24T14:05:32	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol30-casenames	1	2026-05-24T17:01:12	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol31-casenames	1	2026-05-24T17:01:59	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol32-casenames	1	2026-05-24T17:04:13	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol42-casenames	1	2026-05-24T17:07:45	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol43-casenames	1	2026-05-24T17:07:55	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol47-casenames	1	2026-05-24T17:09:15	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol48-casenames	2	2026-05-24T17:10:10	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol52-casenames	4	2026-05-24T17:32:20	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol54-casenames	4	2026-05-24T17:35:05	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol55-casenames	4	2026-05-24T17:36:50	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol56-casenames	3	2026-05-24T17:37:31	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol60-casenames	2	2026-05-24T17:39:54	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol63-casenames	2	2026-05-24T17:41:58	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol65-casenames	1	2026-05-24T17:46:26	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol68-casenames	1	2026-05-24T17:47:21	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol71-casenames	1	2026-05-24T17:48:06	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol73-casenames	2	2026-05-24T17:48:39	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-nd-vol79-casenames	1	2026-05-24T17:50:23	known-baseline
opinions.db	CHANGELOG-data.md	fix-neutral-cite-invert-2026-05-24	4	2026-05-24T23:52:37	known-baseline
opinions.db	CHANGELOG-data.md	section10-resequence-2026-05-25b	1929	2026-05-25T13:22:30	stem-only
opinions.db	CHANGELOG-data.md	section10-resequence-2026-05-25c	1929	2026-05-25T13:31:06	stem-only
opinions.db	CHANGELOG-data.md	section10-resequence-2026-05-25g	61	2026-05-25T19:21:17	stem-only
opinions.db	CHANGELOG-data.md	section6-nocite-v2-merge-2026-05-27	7	2026-05-27T13:03:00	known-baseline
opinions.db	CHANGELOG-data.md	section6-nocite-v3-merge-2026-05-27	6	2026-05-27T13:04:51	known-baseline
opinions.db	CHANGELOG-data.md	section6-nocite-v4-merge-2026-05-27	5	2026-05-27T13:06:48	known-baseline
opinions.db	CHANGELOG-data.md	section6-nocite-brekhus-2026-05-27	2	2026-05-27T13:08:00	known-baseline
opinions.db	CHANGELOG-data.md	westlaw-receive-2026-06-09	3	2026-06-09T13:58:03	stem-only
opinions.db	CHANGELOG-data.md	dedup-coman-2026-06-09	2	2026-06-09T20:30:31	stem-only
opinions.db	CHANGELOG-data.md	dedup-mcintyre-2026-06-09	3	2026-06-09T20:30:31	stem-only
opinions.db	CHANGELOG-data.md	nd-consolidate-chester-2026-06-09	2	2026-06-09T20:32:23	stem-only
opinions.db	CHANGELOG-data.md	nd-consolidate-lincoln-2026-06-09	3	2026-06-09T20:32:23	stem-only
opinions.db	CHANGELOG-data.md	ocr-artifact-surgical-markercand-2026-06-09	9	2026-06-09T20:54:34	stem-only
opinions.db	CHANGELOG-data.md	fix-casename-contamination-2026-06-22	3	2026-06-22T14:19:32	stem-only
